URN,P8MEA,P8MEA_FSM6CLA1A
135389,0.01,-0.04
126102,0.39,-0.05
137766,0.37,-0.05
136379,0.35,-0.05
137901,0.35,-0.05
137923,0.29,-0.05
136610,0.25,-0.05
108638,0.22,-0.05
136342,0.2,-0.05
141844,0.17,-0.05
113907,0.08,-0.05
138863,0.03,-0.05
135315,-0.01,-0.05
135983,-0.04,-0.05
139994,-0.04,-0.05
140014,-0.06,-0.05
135938,-0.07,-0.05
136107,0.41,-0.06
136852,0.38,-0.06
137229,0.34,-0.06
136488,0.3,-0.06
121673,0.29,-0.06
136709,0.28,-0.06
136283,0.26,-0.06
102056,0.25,-0.06
140879,0.25,-0.06
133561,0.23,-0.06
136581,0.21,-0.06
135968,0.18,-0.06
138032,0.16,-0.06
134222,0.15,-0.06
138289,0.13,-0.06
136501,0.09,-0.06
135300,0.07,-0.06
139401,0.07,-0.06
139675,0.07,-0.06
102787,0.05,-0.06
137346,0.05,-0.06
130908,0.04,-0.06
140984,-0.17,-0.06
137791,0.48,-0.07
137617,0.41,-0.07
136298,0.32,-0.07
106135,0.26,-0.07
115758,0.23,-0.07
137678,0.21,-0.07
136750,0.19,-0.07
137099,0.19,-0.07
137815,0.19,-0.07
137940,0.17,-0.07
140117,0.12,-0.07
118912,0.06,-0.07
137500,0.06,-0.07
137186,0.03,-0.07
140866,0.01,-0.07
142316,0.01,-0.07
137844,-0.01,-0.07
137533,-0.07,-0.07
100453,-0.14,-0.07
124416,-0.22,-0.07
137539,0.43,-0.08
137163,0.37,-0.08
136628,0.33,-0.08
100279,0.3,-0.08
101362,0.28,-0.08
136775,0.27,-0.08
140123,0.27,-0.08
136985,0.25,-0.08
121706,0.23,-0.08
141269,0.21,-0.08
102451,0.2,-0.08
140698,0.18,-0.08
136505,0.17,-0.08
140292,0.16,-0.08
110517,0.15,-0.08
126071,0.15,-0.08
136479,0.12,-0.08
130909,0.09,-0.08
138341,0.08,-0.08
137884,0.07,-0.08
139937,0.07,-0.08
136533,0.06,-0.08
137227,0.05,-0.08
139606,0.05,-0.08
140126,0.05,-0.08
100285,0.03,-0.08
139334,0.02,-0.08
136198,0.01,-0.08
103534,0,-0.08
134646,0,-0.08
137857,-0.01,-0.08
136723,0.46,-0.09
115239,0.37,-0.09
136336,0.33,-0.09
118075,0.23,-0.09
137609,0.23,-0.09
113901,0.22,-0.09
121180,0.2,-0.09
126458,0.18,-0.09
140254,0.16,-0.09
136908,0.12,-0.09
140575,0.12,-0.09
119715,0.1,-0.09
141852,0.1,-0.09
138059,0.09,-0.09
101053,0.05,-0.09
102784,0.02,-0.09
138360,0.01,-0.09
137755,-0.02,-0.09
135958,-0.04,-0.09
139043,-0.06,-0.09
139369,-0.06,-0.09
137491,-0.07,-0.09
137869,-0.07,-0.09
137487,-0.19,-0.09
138135,0.27,-0.1
118790,0.25,-0.1
135575,0.25,-0.1
136717,0.24,-0.1
137926,0.17,-0.1
112043,0.16,-0.1
135061,0.13,-0.1
136567,0.13,-0.1
103562,0.09,-0.1
138082,0.06,-0.1
106270,0.05,-0.1
135552,0.05,-0.1
101243,0.04,-0.1
115235,0.02,-0.1
121154,-0.22,-0.1
137434,0.4,-0.11
137621,0.39,-0.11
110102,0.29,-0.11
137038,0.28,-0.11
136911,0.24,-0.11
119784,0.23,-0.11
117577,0.19,-0.11
136545,0.14,-0.11
136266,0.13,-0.11
106538,0.12,-0.11
121671,0.08,-0.11
138411,0.08,-0.11
135294,0.05,-0.11
137618,0.05,-0.11
135290,0.04,-0.11
138961,0.04,-0.11
111430,0.03,-0.11
139405,0.03,-0.11
137679,0,-0.11
135661,-0.11,-0.11
137146,-0.12,-0.11
123257,-0.2,-0.11
137912,0.38,-0.12
108627,0.31,-0.12
137086,0.22,-0.12
137314,0.19,-0.12
137993,0.18,-0.12
116433,0.12,-0.12
139319,0.1,-0.12
109682,0.08,-0.12
108731,0.06,-0.12
137885,0.04,-0.12
138549,0.03,-0.12
113503,0.02,-0.12
104830,0.01,-0.12
136204,0.01,-0.12
137858,0.01,-0.12
137096,-0.04,-0.12
129342,-0.05,-0.12
136453,-0.05,-0.12
137367,-0.08,-0.12
105738,-0.18,-0.12
139995,-0.19,-0.12
136887,0.5,-0.13
139993,0.47,-0.13
136994,0.32,-0.13
118083,0.24,-0.13
121164,0.21,-0.13
112956,0.17,-0.13
119793,0.14,-0.13
136917,0.14,-0.13
138627,0.14,-0.13
139277,0.1,-0.13
119798,0.07,-0.13
100978,0.03,-0.13
102052,0.03,-0.13
121219,0.02,-0.13
136672,0.02,-0.13
136394,-0.01,-0.13
135665,-0.06,-0.13
139276,-0.09,-0.13
100049,-0.11,-0.13
116473,-0.14,-0.13
112041,-0.21,-0.13
119765,0.4,-0.14
138286,0.38,-0.14
126089,0.34,-0.14
137431,0.25,-0.14
116952,0.23,-0.14
138110,0.22,-0.14
136468,0.2,-0.14
137581,0.19,-0.14
134283,0.18,-0.14
136197,0.18,-0.14
136608,0.16,-0.14
139148,0.16,-0.14
138651,0.15,-0.14
107439,0.13,-0.14
100503,0.1,-0.14
100052,0.09,-0.14
136718,0.04,-0.14
136918,0,-0.14
107395,-0.01,-0.14
135120,-0.06,-0.14
136607,-0.08,-0.14
103539,-0.13,-0.14
123236,-0.18,-0.14
106370,-0.27,-0.14
137046,0.38,-0.15
116407,0.35,-0.15
136470,0.32,-0.15
126092,0.26,-0.15
113855,0.25,-0.15
122830,0.21,-0.15
136757,0.19,-0.15
102047,0.16,-0.15
106375,0.15,-0.15
138506,0.09,-0.15
142056,0.07,-0.15
137310,0.06,-0.15
136387,0.05,-0.15
135955,0.04,-0.15
137772,0.03,-0.15
142040,0.03,-0.15
104018,0.02,-0.15
136192,0,-0.15
137798,-0.01,-0.15
138484,-0.03,-0.15
141325,-0.03,-0.15
131065,-0.09,-0.15
137830,-0.11,-0.15
136213,-0.15,-0.15
136164,-0.29,-0.15
138829,0.41,-0.16
118836,0.39,-0.16
140472,0.34,-0.16
137916,0.32,-0.16
100750,0.25,-0.16
137215,0.18,-0.16
137240,0.17,-0.16
137633,0.17,-0.16
136120,0.15,-0.16
108059,0.13,-0.16
136390,0.12,-0.16
111422,0.11,-0.16
131280,0.1,-0.16
138123,0.08,-0.16
136877,0.07,-0.16
107563,0.04,-0.16
135979,0.03,-0.16
137902,0.02,-0.16
139211,0.01,-0.16
135234,0,-0.16
137702,-0.11,-0.16
100051,-0.15,-0.16
137055,0.32,-0.17
136897,0.31,-0.17
140415,0.3,-0.17
140675,0.3,-0.17
136777,0.25,-0.17
137622,0.24,-0.17
136524,0.22,-0.17
138136,0.22,-0.17
140748,0.22,-0.17
136466,0.14,-0.17
136305,0.13,-0.17
108075,0.12,-0.17
116448,0.12,-0.17
107767,0.11,-0.17
136268,0.1,-0.17
140524,0.09,-0.17
137153,0.06,-0.17
140569,0.06,-0.17
136968,0.05,-0.17
140534,0.04,-0.17
120655,0.01,-0.17
100740,0,-0.17
136614,0,-0.17
105101,-0.01,-0.17
104705,-0.02,-0.17
135629,-0.02,-0.17
139055,-0.03,-0.17
139074,-0.08,-0.17
100284,-0.14,-0.17
105839,-0.17,-0.17
124840,0.38,-0.18
138290,0.38,-0.18
138825,0.29,-0.18
137306,0.27,-0.18
138474,0.27,-0.18
137740,0.26,-0.18
114588,0.21,-0.18
136966,0.2,-0.18
136588,0.19,-0.18
119803,0.18,-0.18
126447,0.18,-0.18
125308,0.17,-0.18
124449,0.14,-0.18
113520,0.13,-0.18
138525,0.13,-0.18
138329,0.11,-0.18
137764,0.09,-0.18
137895,0.08,-0.18
138023,0.07,-0.18
139272,0.07,-0.18
136668,0.05,-0.18
119790,0.04,-0.18
137214,0.02,-0.18
121670,-0.01,-0.18
134369,-0.02,-0.18
136767,-0.02,-0.18
113882,-0.04,-0.18
113526,-0.06,-0.18
140633,-0.14,-0.18
133351,-0.22,-0.18
136990,0.31,-0.19
137938,0.18,-0.19
136771,0.17,-0.19
139140,0.17,-0.19
116419,0.09,-0.19
119801,0.07,-0.19
139873,0.07,-0.19
105266,0.05,-0.19
137937,0.05,-0.19
135122,-0.03,-0.19
135971,-0.03,-0.19
135744,-0.04,-0.19
134906,-0.07,-0.19
137065,-0.07,-0.19
116428,-0.12,-0.19
140021,-0.15,-0.19
134221,-0.19,-0.19
139841,-0.19,-0.19
136469,0.38,-0.2
140713,0.29,-0.2
140868,0.23,-0.2
136556,0.21,-0.2
137020,0.21,-0.2
136617,0.19,-0.2
141210,0.19,-0.2
119757,0.14,-0.2
137011,0.13,-0.2
136980,0.12,-0.2
141836,0.12,-0.2
118931,0.11,-0.2
102681,0.1,-0.2
140091,0.1,-0.2
115382,0.08,-0.2
135632,0.08,-0.2
112065,0.07,-0.2
141598,0.07,-0.2
112067,0.06,-0.2
136883,0.04,-0.2
141307,0.03,-0.2
138250,0.02,-0.2
136331,0.01,-0.2
135621,0,-0.2
135957,-0.01,-0.2
106268,-0.02,-0.2
104715,-0.03,-0.2
116498,-0.07,-0.2
136281,-0.1,-0.2
137093,-0.12,-0.2
116425,-0.13,-0.2
136626,-0.13,-0.2
139867,-0.14,-0.2
135598,-0.18,-0.2
138937,-0.24,-0.2
137546,0.42,-0.21
137929,0.32,-0.21
136343,0.26,-0.21
137429,0.14,-0.21
137159,0.1,-0.21
111727,0.09,-0.21
136294,0.09,-0.21
136992,0.09,-0.21
100182,0.07,-0.21
103529,0.05,-0.21
114289,0.01,-0.21
131512,0,-0.21
136886,0,-0.21
108642,-0.02,-0.21
139290,-0.06,-0.21
141318,-0.06,-0.21
136525,-0.08,-0.21
136147,-0.12,-0.21
108525,-0.14,-0.21
120645,-0.17,-0.21
137576,-0.18,-0.21
138544,0.28,-0.22
121720,0.18,-0.22
136534,0.17,-0.22
131726,0.13,-0.22
138024,0.09,-0.22
137177,0.08,-0.22
114579,0.07,-0.22
137059,0.07,-0.22
112385,0.04,-0.22
